,0,1
0,113.91,22.49
1,113.91,22.48
2,113.92,22.49
3,113.93,22.49
4,113.93,22.48
5,113.94,22.49
6,113.93,22.5
7,113.93,22.51
8,113.92,22.51
9,113.92,22.5
10,113.94,22.51
11,113.94,22.52
12,113.93,22.52
13,113.95,22.52
14,113.95,22.53
15,113.95,22.54
16,113.96,22.53
17,113.96,22.54
18,113.97,22.54
19,113.97,22.55
20,113.96,22.55
21,113.96,22.56
22,113.97,22.56
23,113.97,22.57
24,113.98,22.56
25,113.98,22.55
26,113.99,22.55
27,114.0,22.55
28,114.0,22.54
29,114.01,22.54
30,113.99,22.54
31,113.99,22.56
32,113.99,22.57
33,113.98,22.58
34,113.98,22.59
35,113.97,22.59
36,113.96,22.59
37,113.96,22.58
38,113.95,22.58
39,113.95,22.57
40,113.95,22.56
41,113.94,22.57
42,113.93,22.57
43,113.92,22.57
44,113.92,22.56
45,113.91,22.56
46,113.91,22.55
47,113.9,22.56
48,113.89,22.56
49,113.89,22.57
50,113.88,22.57
51,113.88,22.58
52,113.88,22.59
53,113.89,22.59
54,113.89,22.58
55,113.9,22.58
56,113.9,22.57
57,113.92,22.55
58,113.93,22.55
59,113.93,22.54
60,113.92,22.54
61,113.91,22.54
62,113.9,22.54
63,113.9,22.55
64,113.89,22.55
65,113.88,22.56
66,113.87,22.57
67,113.87,22.58
68,113.86,22.58
69,113.85,22.58
70,113.86,22.57
71,113.87,22.56
72,113.92,22.53
73,113.95,22.55
74,113.94,22.53
75,113.94,22.54
76,113.94,22.55
77,113.94,22.56
78,113.95,22.59
79,113.94,22.58
80,113.94,22.59
81,114.01,22.55
82,114.0,22.56
83,114.01,22.56
84,113.98,22.54
85,113.99,22.53
86,114.0,22.53
87,114.02,22.54
88,114.03,22.54
89,114.04,22.54
90,114.05,22.54
91,114.06,22.54
92,114.07,22.54
93,114.08,22.54
94,114.08,22.55
95,114.07,22.55
96,114.06,22.55
97,114.06,22.56
98,114.07,22.56
99,114.05,22.56
100,114.04,22.56
101,114.04,22.55
102,114.08,22.53
103,114.07,22.53
104,114.06,22.53
105,114.05,22.53
106,114.04,22.53
107,114.04,22.52
108,114.05,22.52
109,114.03,22.53
110,114.02,22.53
111,114.01,22.53
112,113.92,22.58
113,113.91,22.58
114,113.91,22.59
115,113.9,22.59
116,113.9,22.6
117,113.89,22.6
118,113.88,22.6
119,113.88,22.61
120,113.88,22.62
121,113.87,22.62
122,113.86,22.62
123,113.86,22.63
124,113.85,22.63
125,113.85,22.62
126,113.84,22.63
127,113.84,22.64
128,113.83,22.64
129,113.84,22.62
130,113.83,22.62
131,113.84,22.61
132,113.84,22.6
133,113.85,22.6
134,113.86,22.6
135,113.85,22.59
136,113.86,22.59
137,113.93,22.56
138,113.99,22.52
139,113.98,22.52
140,113.97,22.52
141,113.96,22.52
142,113.96,22.57
143,113.92,22.52
144,113.91,22.5
145,113.91,22.51
146,113.95,22.51
147,113.93,22.53
148,114.12,22.58
149,114.13,22.58
150,114.14,22.58
151,114.14,22.57
152,114.14,22.56
